类别,省,市,县,公司简称,行政区划,公司全名,行业,员工人数,总市值(亿),股票代码,注册地,办公地,官网,成立日期,上市日期
沪A股,上海市,市辖区,黄浦区,浦发银行,310101,上海浦东发展银行股份有限公司,银行,62987,3117.2,600000,上海市黄浦区中山东一路12号,上海市黄浦区中山东一路12号,www.spdb.com.cn,10/18/1992,11/10/1999
沪A股,广东省,广州市,白云区,白云机场,440111,广州白云国际机场股份有限公司,机场航运,9878,208.98,600004,广东省广州市白云区白云国际机场南工作区自编一号,广东省广州市白云区白云国际机场东南工作区空港南横四路综合服务大楼一区,www.baiyunport.com,9/18/2000,4/28/2003
沪A股,湖北省,襄阳市,襄州区,东风股份,420607,东风汽车股份有限公司,汽车整车,4365,141,600006,湖北省襄阳市襄州区高新区东风汽车大道劲风路3幢,湖北省武汉市汉阳区经济技术开发区创业路58号,www.dfac.com,7/20/1999,7/27/1999
沪A股,北京市,市辖区,朝阳区,中国国贸,110105,中国国际贸易中心股份有限公司,房地产,1794,229.56,600007,北京市朝阳区建国门外大街1号,北京市朝阳区建国门外大街1号,www.cwtc.com,10/14/1997,3/12/1999
沪A股,北京市,市辖区,西城区,首创环保,110102,北京首创生态环保集团股份有限公司,环境治理,16058,227.56,600008,北京市西城区车公庄大街21号39幢16层,北京市西城区车公庄大街21号2号楼,www.capitaleco-pro.com,8/30/1999,4/27/2000
沪A股,上海市,市辖区,浦东新区,上海机场,310115,上海国际机场股份有限公司,机场航运,12999,803.53,600009,上海市浦东新区启航路900号,上海市浦东新区启航路900号,www.shairport.com,2/10/1998,2/18/1998
沪A股,内蒙古自治区,包头市,昆都仑区,包钢股份,150203,内蒙古包钢钢联股份有限公司,钢铁,25259,810.67,600010,内蒙古自治区包头市昆都仑区河西工业区,内蒙古自治区包头市昆都仑区包钢信息大楼主楼,www.baoganggf.com,6/28/1999,3/9/2001
沪A股,北京市,市辖区,西城区,华能国际,110102,华能国际电力股份有限公司,电力,56263,1108.29,600011,北京市西城区复兴门内大街6号(华能大厦),北京市西城区复兴门内大街6号(华能大厦),www.hpi.com.cn,6/29/1994,12/6/2001
沪A股,安徽省,合肥市,蜀山区,皖通高速,340104,安徽皖通高速公路股份有限公司,公路铁路运输,1936,291.92,600012,安徽省合肥市蜀山区望江西路520号,安徽省合肥市蜀山区望江西路520号,www.anhui-expressway.net,8/14/1996,1/7/2003
沪A股,北京市,市辖区,东城区,华夏银行,110101,华夏银行股份有限公司,银行,38937,1262.05,600015,北京市东城区建国门内大街22号,北京市东城区建国门内大街22号华夏银行大厦,www.hxb.com.cn,10/13/1992,9/12/2003
沪A股,北京市,市辖区,西城区,民生银行,110102,中国民生银行股份有限公司,银行,63490,1746.92,600016,北京市西城区复兴门内大街2号,北京市西城区复兴门内大街2号,www.cmbc.com.cn,2/6/1996,12/19/2000
沪A股,山东省,日照市,东港区,日照港,371102,日照港股份有限公司,港口航运,5794,96.88,600017,山东省日照市东港区海滨二路,山东省日照市东港区海滨二路,www.rzpcl.com,7/14/2002,10/17/2006
沪A股,上海市,市辖区,浦东新区,上港集团,310115,上海国际港务(集团)股份有限公司,港口航运,13016,1282.8,600018,上海市浦东新区中国(上海)自由贸易试验区临港新片区同汇路1号综合大楼A区4楼,上海市虹口区东大名路358号(国际港务大厦),www.portshanghai.com.cn,10/20/1988,7/19/2000
沪A股,上海市,市辖区,宝山区,宝钢股份,310113,宝山钢铁股份有限公司,钢铁,43126,1445.97,600019,上海市宝山区富锦路885号,上海市宝山区富锦路885号宝钢指挥中心,www.baosteel.com,2/2/2000,12/12/2000
沪A股,河南省,郑州市,金水区,中原高速,410105,河南中原高速公路股份有限公司,公路铁路运输,3059,99.11,600020,河南省郑州市金水区徐庄东路97号牛顿国际B座3楼H11,河南省郑州市金水区郑东新区农业东路100号,www.zygs.com,12/27/2000,8/8/2003
沪A股,上海市,市辖区,浦东新区,上海电力,310115,上海电力股份有限公司,电力,7266,247.87,600021,上海市浦东新区高科西路1号上电大厦,上海市浦东新区高科西路1号上电大厦,www.shanghaipower.com,6/3/1998,10/29/2003
沪A股,山东省,济南市,钢城区,山东钢铁,370117,山东钢铁股份有限公司,钢铁,16535,139.09,600022,山东省济南市钢城区府前大街99号,山东省济南市钢城区府前大街99号,,12/28/2000,6/29/2004
沪A股,浙江省,杭州市,西湖区,浙能电力,330106,浙江浙能电力股份有限公司,电力,9897,761.62,600023,浙江省杭州市西湖区天目山路152号浙能大厦2楼,浙江省杭州市西湖区紫荆花路36号浙能源力科创中心A座10层,www.zzepc.com.cn,3/13/1992,12/19/2013
沪A股,云南省,昆明市,官渡区,华能水电,530111,华能澜沧江水电股份有限公司,电力,5008,1670.4,600025,云南省昆明市官渡区世纪城中路1号,云南省昆明市官渡区世纪城中路1号,www.hnlcj.cn,2/7/2001,12/15/2017
沪A股,上海市,市辖区,浦东新区,中远海能,310115,中远海运能源运输股份有限公司,港口航运,7854,479.94,600026,上海市浦东新区中国(上海)自由贸易试验区临港新片区业盛路188号A-1015室,上海市虹口区东大名路670号,energy.coscoshipping.com,7/25/1996,5/23/2002
沪A股,山东省,济南市,历下区,华电国际,370102,华电国际电力股份有限公司,电力,25093,587.06,600027,山东省济南市历下区经十路14800号,北京市西城区宣武门内大街2号,www.hdpi.com.cn,6/27/1994,2/3/2005
沪A股,北京市,市辖区,朝阳区,中国石化,110105,中国石油化工股份有限公司,石油加工贸易,355952,6888.79,600028,北京市朝阳区朝阳门北大街22号,北京市朝阳区朝阳门北大街22号,www.sinopec.com,2/24/2000,8/8/2001
沪A股,广东省,广州市,黄埔区,南方航空,440112,中国南方航空股份有限公司,机场航运,102597,1034.7,600029,广东省广州市黄埔区玉岩路12号冠昊科技园区一期办公楼3楼301室,广东省广州市白云区齐心路68号中国南方航空大厦,www.csair.com,3/24/1995,7/25/2003
沪A股,广东省,深圳市,福田区,中信证券,440304,中信证券股份有限公司,证券,26781,3715.51,600030,广东省深圳市福田区中心三路8号卓越时代广场(二期)北座,广东省深圳市福田区中心三路8号中信证券大厦;北京市朝阳区亮马桥路48号中信证券大厦,www.citics.com,10/24/1995,1/6/2003
沪A股,北京市,市辖区,昌平区,三一重工,110114,三一重工股份有限公司,工程机械,25363,1625.5,600031,北京市昌平区北清路8号6栋5楼,北京市昌平区北清路8号,www.sany.com.cn,11/21/1994,7/3/2003
沪A股,浙江省,杭州市,上城区,浙江新能,330102,浙江省新能源投资集团股份有限公司,电力,991,189.49,600032,浙江省杭州市上城区凯旋街道凤起东路8号,浙江省杭州市上城区凯旋街道凤起东路8号,,7/31/2002,5/25/2021
沪A股,福建省,福州市,鼓楼区,福建高速,350102,福建发展高速公路股份有限公司,公路铁路运输,1205,100.17,600033,福建省福州市鼓楼区东水路18号福建交通综合大楼26层,福建省福州市仓山区城门镇林浦路367号林浦广场5号楼8-9层,www.fjgs.com.cn,6/27/1999,2/9/2001
沪A股,湖北省,武汉市,汉阳区,楚天高速,420105,湖北楚天智能交通股份有限公司,公路铁路运输,1828,69.4,600035,湖北省武汉市汉阳区龙阳大道9号,湖北省武汉市汉阳区四新大道26号湖北国展中心广场东塔23—24层,www.hbctgs.com,11/21/2000,3/10/2004
沪A股,广东省,深圳市,福田区,招商银行,440304,招商银行股份有限公司,银行,117201,10572.16,600036,广东省深圳市福田区深南大道7088号,广东省深圳市福田区深南大道7088号,www.cmbchina.com,3/30/1987,4/9/2002
沪A股,北京市,市辖区,海淀区,歌华有线,110108,北京歌华有线电视网络股份有限公司,文化传媒,3275,97.15,600037,北京市海淀区西三环北路87号4层409,北京市东城区青龙胡同1号歌华大厦,www.bgctv.com.cn,9/28/1999,2/8/2001
沪A股,黑龙江省,哈尔滨市,南岗区,中直股份,230103,中航直升机股份有限公司,军工装备,13935,295.65,600038,黑龙江省哈尔滨市南岗区集中开发区34号楼,北京市朝阳区安定门外小关东里14号A座7层,avicopter.avic.com,7/29/1999,12/18/2000
沪A股,四川省,成都市,武侯区,四川路桥,510107,四川路桥建设集团股份有限公司,建筑装饰,18474,736,600039,四川省成都市武侯区高新区高朋大道11号科技工业园F-59号,四川省成都市武侯区高新区九兴大道12号,www.scrbc.com.cn,12/27/1999,3/25/2003
沪A股,广东省,广州市,海珠区,保利发展,440105,保利发展控股集团股份有限公司,房地产,56259,1072.55,600048,广东省广州市海珠区阅江中路832号保利发展广场53-59层,广东省广州市海珠区阅江中路832号保利发展广场53-59层,www.polycn.com,9/13/1992,7/31/2006
沪A股,北京市,市辖区,西城区,中国联通,110102,中国联合网络通信股份有限公司,通信服务,240617,1672.65,600050,北京市西城区金融大街21号4楼,北京市西城区金融大街21号,www.chinaunicom-a.com,12/30/2001,10/9/2002
沪A股,浙江省,宁波市,北仑区,宁波联合,330206,宁波联合集团股份有限公司,综合,454,21.26,600051,浙江省宁波市北仑区开发区东海路1号联合大厦,浙江省宁波市北仑区开发区东海路1号联合大厦,www.nug.com.cn,3/30/1994,4/10/1997
沪A股,浙江省,金华市,东阳市,东望时代,330783,浙江东望时代科技股份有限公司,电力,425,34.61,600052,浙江省金华市东阳市振兴路1号西侧,浙江省杭州市萧山区亚奥中心写字楼21楼,www.dwsd.cn,7/12/1993,4/15/1997
沪A股,江西省,南昌市,东湖区,九鼎投资,360102,昆吾九鼎投资控股股份有限公司,多元金融,255,59.13,600053,江西省南昌市东湖区董家窑路112号紫金城写字楼A座20层,江西省南昌市东湖区沿江北大道1379号紫金城A栋写字楼,www.jdcapital.com,4/13/1997,4/18/1997
沪A股,安徽省,黄山市,屯溪区,黄山旅游,341002,黄山旅游发展股份有限公司,旅游及酒店,3833,87.01,600054,安徽省黄山市屯溪区天都大道5号(天都国际饭店D座16-18楼),安徽省黄山市屯溪区天都大道5号(天都国际饭店D座16-18楼),www.hstd.com,11/17/1996,5/6/1997
沪A股,北京市,市辖区,朝阳区,万东医疗,110105,北京万东医疗科技股份有限公司,医疗器械,1191,123.67,600055,北京市朝阳区酒仙桥东路9号院3号楼,北京市朝阳区酒仙桥东路9号院3号楼,www.wandong.com.cn,5/11/1997,5/19/1997
沪A股,北京市,市辖区,丰台区,中国医药,110106,中国医药健康产业股份有限公司,医药商业,8389,151.38,600056,北京市丰台区西营街1号院1区1号楼25-28层,北京市丰台区西营街1号院1区1号楼25-28层,www.meheco.com,5/7/1997,5/15/1997
沪A股,福建省,厦门市,湖里区,厦门象屿,350206,厦门象屿股份有限公司,物流,7929,177.96,600057,福建省厦门市湖里区中国(福建)自由贸易试验区厦门片区象屿路99号厦门国际航运中心E栋9层05单元之一,福建省厦门市湖里区自由贸易试验区厦门片区象屿路85号象屿集团大厦B栋10楼,www.xiangyu.cn,5/22/1997,6/4/1997
沪A股,北京市,市辖区,海淀区,五矿发展,110108,五矿发展股份有限公司,贸易,2695,75.46,600058,北京市海淀区三里河路5号,北京市海淀区三里河路5号B座,www.minlist.com.cn,5/20/1997,5/28/1997
沪A股,浙江省,绍兴市,越城区,古越龙山,330602,浙江古越龙山绍兴酒股份有限公司,饮料制造,2229,79.4,600059,浙江省绍兴市越城区北海桥,浙江省绍兴市越城区北海桥,www.shaoxingwine.com.cn,5/7/1997,5/16/1997
沪A股,山东省,青岛市,黄岛区,海信视像,370211,海信视像科技股份有限公司,黑色家电,18097,319.46,600060,山东省青岛市黄岛区经济技术开发区前湾港路218号,山东省青岛市黄岛区经济技术开发区前湾港路218号,visual.hisense.com,4/16/1997,4/22/1997
沪A股,上海市,市辖区,浦东新区,国投资本,310115,国投资本股份有限公司,多元金融,7265,438.63,600061,上海市浦东新区中国(上海)自由贸易试验区北张家浜路128号204-3、204-4、204-5室,北京市西城区阜成门北大街2号国投金融大厦,www.sdiccapital.com,5/12/1997,5/19/1997
沪A股,北京市,市辖区,朝阳区,华润双鹤,110105,华润双鹤药业股份有限公司,化学制药,13414,189.07,600062,北京市朝阳区望京利泽东二路1号,北京市朝阳区望京利泽东二路1号,www.dcpc.com,5/15/1997,5/22/1997
沪A股,安徽省,合肥市,巢湖市,皖维高新,340181,安徽皖维高新材料股份有限公司,化学纤维,4513,96.18,600063,安徽省合肥市巢湖市皖维路56号,安徽省合肥市巢湖市皖维路56号,www.wwgf.com.cn,5/22/1997,5/28/1997
沪A股,江苏省,南京市,栖霞区,南京高科,320113,南京高科股份有限公司,房地产,648,126.14,600064,江苏省南京市栖霞区经济技术开发区恒通大道2号,江苏省南京市栖霞区学津路8号高科中心A座,www.600064.com,7/7/1992,5/6/1997
沪A股,河南省,郑州市,管城回族区,宇通客车,410104,宇通客车股份有限公司,汽车整车,16707,607.73,600066,河南省郑州市管城回族区宇通路6号,河南省郑州市管城回族区宇通路6号,www.yutong.com,1/7/1997,5/8/1997
沪A股,福建省,福州市,马尾区,冠城新材,350105,冠城大通新材料股份有限公司,电网设备,1161,32.57,600067,福建省福州市马尾区开发区快安延伸区创新楼,福建省福州市仓山区浦下洲路5号冠城大通广场1号楼C座,www.gcdt.net,4/2/1988,5/8/1997
沪A股,浙江省,绍兴市,诸暨市,*ST富润,330681,浙江富润数字科技股份有限公司,综合,185,2.13,600070,浙江省绍兴市诸暨市浣东街道东祥路19号富润屋,浙江省绍兴市诸暨市陶朱南路12号,www.furun.net,5/18/1994,6/4/1997
沪A股,江西省,上饶市,广信区,凤凰光学,361104,凤凰光学股份有限公司,光学光电子,2878,54.09,600071,江西省上饶市广信区凤凰西大道197号,江西省上饶市广信区凤凰西大道197号,www.phenixoptics.com.cn,5/22/1997,5/28/1997
沪A股,上海市,市辖区,杨浦区,中船科技,310110,中船科技股份有限公司,风电设备,4699,180.93,600072,上海市杨浦区周家嘴路3255号10楼,上海市黄浦区鲁班路600号江南造船大厦13楼,www.cssckj.com,5/27/1997,6/3/1997
沪A股,上海市,市辖区,浦东新区,光明肉业,310115,上海光明肉业集团股份有限公司,食品加工制造,12002,78.96,600073,上海市浦东新区中国(上海)自由贸易试验区川桥路1501号7幢101室,上海市杨浦区济宁路18号,www.brightmeat.com,6/26/1997,7/4/1997
沪A股,新疆维吾尔自治区,自治区直辖县级行政区划,石河子市,新疆天业,659001,新疆天业股份有限公司,化学原料,9617,72.22,600075,新疆维吾尔自治区石河子市经济技术开发区北三东路36号,新疆维吾尔自治区石河子市经济技术开发区北三东路36号,www.xj-tianye.com,6/8/1997,6/17/1997
沪A股,山东省,潍坊市,奎文区,康欣新材,370705,康欣新材料股份有限公司,包装印刷,309,26.62,600076,山东省潍坊市奎文区高新技术产业开发区北宫东街6号,湖北省孝感市汉川市经济开发区新河工业园路特一号,www.hbkangxin.com.cn,8/31/1993,5/26/1997
沪A股,江苏省,无锡市,江阴市,澄星股份,320281,江苏澄星磷化工股份有限公司,农化制品,2317,34.39,600078,江苏省无锡市江阴市梅园大街618号,江苏省无锡市江阴市梅园大街618号,www.cxpcchina.com,6/27/1994,6/27/1997
沪A股,湖北省,武汉市,洪山区,人福医药,420111,人福医药集团股份公司,化学制药,17676,343.09,600079,湖北省武汉市洪山区东湖高新区高新大道666号,湖北省武汉市洪山区东湖高新区高新大道666号,www.humanwell.com.cn,3/29/1993,6/6/1997
沪A股,陕西省,西安市,雁塔区,金花股份,610113,金花企业(集团)股份有限公司,中药,553,27.36,600080,陕西省西安市雁塔区高新区科技四路202号,陕西省西安市雁塔区高新区高新三路财富中心三期南座40层,www.ginwa.com.cn,2/13/1996,6/12/1997
沪A股,上海市,市辖区,闵行区,东风科技,310112,东风电子科技股份有限公司,汽车零部件,4303,77.48,600081,上海市闵行区浦江镇新骏环路88号13幢203室,上海市闵行区浦江镇新骏环路88号13B,www.detc.com.cn,4/28/1998,7/3/1997
沪A股,天津市,市辖区,西青区,海泰发展,120111,天津海泰科技发展股份有限公司,房地产,61,19.19,600082,天津市西青区新技术产业园区华苑产业区,天津市西青区新技术产业园区华苑产业区海泰西路18号,www.hitech-develop.com,1/4/1993,6/20/1997
沪A股,新疆维吾尔自治区,乌鲁木齐市,水磨沟区,中信尼雅,650105,中信尼雅葡萄酒股份有限公司,饮料制造,356,61.8,600084,新疆维吾尔自治区乌鲁木齐市水磨沟区红山路39号,新疆维吾尔自治区乌鲁木齐市水磨沟区红山路39号,www.citicwine.com,7/6/1997,7/11/1997
沪A股,北京市,市辖区,大兴区,同仁堂,110115,北京同仁堂股份有限公司,中药,17883,500.86,600085,北京市大兴区中关村科技园区大兴生物医药产业基地天贵大街33号,北京市东城区崇文门外大街42号,gf.tongrentang.com,6/17/1997,6/25/1997
沪A股,上海市,市辖区,浦东新区,中视传媒,310115,中视传媒股份有限公司,影视院线,1384,65.54,600088,上海市浦东新区中国(上海)自由贸易试验区福山路450号新天国际大厦17层A座,上海市浦东新区中国(上海)自由贸易试验区福山路450号新天国际大厦17层A座;北京市朝阳区西大望路1号温特莱中心B座22层,www.ctv-media.com.cn,5/30/2002,6/16/1997
沪A股,新疆维吾尔自治区,昌吉回族自治州,昌吉市,特变电工,652301,特变电工股份有限公司,综合,30542,586.63,600089,新疆维吾尔自治区昌吉回族自治州昌吉市北京南路189号,新疆维吾尔自治区昌吉回族自治州昌吉市北京南路189号,www.tbea.com,2/25/1993,6/18/1997
沪A股,上海市,市辖区,闵行区,大名城,310112,上海大名城企业股份有限公司,房地产,538,81.58,600094,上海市闵行区红松东路1116号1幢5楼A区,上海市长宁区红宝石路500号东银中心B栋29楼,www.greattown.cn,7/17/1996,7/3/1997
沪A股,黑龙江省,哈尔滨市,道里区,湘财股份,230102,湘财股份有限公司,证券,2146,237.6,600095,黑龙江省哈尔滨市道里区高新技术产业开发区迎宾路集中区太湖北路7号,黑龙江省哈尔滨市道里区高新技术产业开发区迎宾路集中区太湖北路7号,www.600095.com.cn,3/24/1994,7/8/1997
沪A股,云南省,昆明市,西山区,云天化,530112,云南云天化股份有限公司,农化制品,12035,406.49,600096,云南省昆明市西山区滇池路1417号,云南省昆明市西山区滇池路1417号,www.yyth.com.cn,7/1/1997,7/9/1997
沪A股,上海市,市辖区,浦东新区,开创国际,310115,上海开创国际海洋资源股份有限公司,养殖业,1058,23.01,600097,上海市浦东新区中国(上海)自由贸易试验区新灵路118号1201A室,上海市杨浦区安浦路661号3号楼3楼,www.skmic.sh.cn,10/10/1993,6/19/1997
沪A股,广东省,广州市,天河区,广州发展,440106,广州发展集团股份有限公司,电力,6314,219.49,600098,广东省广州市天河区临江大道3号30楼、31楼自编B单元、32楼自编A单元,广东省广州市天河区临江大道3号31-32楼,www.gdg.com.cn,11/12/1992,7/18/1997
沪A股,江苏省,泰州市,海陵区,林海股份,321202,林海股份有限公司,汽车服务及其他,551,21.89,600099,江苏省泰州市海陵区迎春西路199号,江苏省泰州市海陵区迎春西路199号,www.linhai.cn,6/27/1997,7/4/1997
沪A股,北京市,市辖区,海淀区,同方股份,110108,同方股份有限公司,计算机设备,13783,238.21,600100,北京市海淀区王庄路1号清华同方科技大厦A座30层,北京市海淀区王庄路1号清华同方科技大厦A座29层,www.thtf.com.cn,6/24/1997,6/27/1997
沪A股,四川省,遂宁市,船山区,明星电力,510903,四川明星电力股份有限公司,电力,1453,63.99,600101,四川省遂宁市船山区开发区明月路56号,四川省遂宁市船山区开发区明月路56号,www.mxdl.com.cn,4/28/1988,6/27/1997
沪A股,福建省,福州市,鼓楼区,青山纸业,350102,福建省青山纸业股份有限公司,造纸,2907,47.99,600103,福建省福州市鼓楼区五一北路171号新都会花园广场16层,福建省三明市沙县区青州镇青山路1号,www.qingshanpaper.com,3/31/1993,7/3/1997
沪A股,上海市,市辖区,浦东新区,上汽集团,310115,上海汽车集团股份有限公司,汽车整车,207001,1799.96,600104,上海市浦东新区中国(上海)自由贸易试验区松涛路563号1号楼509室,上海市静安区威海路489号,www.saicmotor.com,4/15/1984,11/25/1997
沪A股,江苏省,苏州市,吴江区,永鼎股份,320509,江苏永鼎股份有限公司,通信设备,3382,92.84,600105,江苏省苏州市吴江区黎里镇318国道74K处芦墟段北侧,江苏省苏州市吴江区汾湖高新区江苏路1号,www.yongding.com.cn,6/29/1994,9/29/1997
沪A股,重庆市,市辖区,渝中区,重庆路桥,500103,重庆路桥股份有限公司,公路铁路运输,128,69.77,600106,重庆市渝中区和平路9号10-1,重庆市南岸区南坪经济技术开发区丹龙路11号,www.cqrb.com.cn,6/12/1997,6/18/1997
沪A股,湖北省,黄石市,黄石港区,美尔雅,420202,湖北美尔雅股份有限公司,服装家纺,2680,15.48,600107,湖北省黄石市黄石港区消防路29号,湖北省黄石市下陆区团城山开发区美尔雅工业园,www.mailyard.com.cn,12/30/1993,11/6/1997
沪A股,甘肃省,兰州市,城关区,亚盛集团,620102,甘肃亚盛实业(集团)股份有限公司,种植业与林业,4973,56.66,600108,甘肃省兰州市城关区雁兴路21号14楼,甘肃省兰州市城关区雁兴路21号,www.yasheng.com.cn,12/5/1995,8/18/1997
沪A股,四川省,成都市,青羊区,国金证券,510105,国金证券股份有限公司,证券,5733,295.52,600109,四川省成都市青羊区东城根上街95号,四川省成都市青羊区东城根上街95号成证大厦16楼,www.gjzq.com.cn,12/19/1996,8/7/1997
沪A股,吉林省,长春市,宽城区,诺德股份,220103,诺德新材料股份有限公司,电池,2916,62.29,600110,吉林省长春市宽城区高新技术产业开发区北区航空街1666号,广东省深圳市福田区广夏路1号创智云中心A1栋30层,www.ndgf.net,8/22/1989,10/7/1997
沪A股,内蒙古自治区,包头市,九原区,北方稀土,150207,中国北方稀土(集团)高科技股份有限公司,小金属,9867,842.31,600111,内蒙古自治区包头市九原区稀土高新技术产业开发区黄河大街83号,内蒙古自治区包头市九原区稀土高新技术产业开发区黄河大街83号,www.reht.com,9/11/1997,9/24/1997
沪A股,浙江省,温州市,鹿城区,浙江东日,330302,浙江东日股份有限公司,零售,1054,60.47,600113,浙江省温州市鹿城区市府路168号合众大厦1101-1室,浙江省温州市鹿城区市府路168号合众大厦12层,www.dongri.com,10/5/1997,10/21/1997
沪A股,浙江省,宁波市,鄞州区,东睦股份,330212,东睦新材料集团股份有限公司,通用设备,5700,116.87,600114,浙江省宁波市鄞州区鄞州工业园区景江路1508号,浙江省宁波市鄞州区鄞州工业园区景江路1508号,www.pm-china.com,7/10/1994,5/11/2004
沪A股,上海市,市辖区,浦东新区,中国东航,310115,中国东方航空股份有限公司,机场航运,85168,838.15,600115,上海市浦东新区浦东国际机场机场大道66号,上海市闵行区虹翔三路36号,www.ceair.com,4/13/1995,11/5/1997
沪A股,重庆市,市辖区,万州区,三峡水利,500101,重庆三峡水利电力(集团)股份有限公司,电力,3486,127.73,600116,重庆市万州区高笋塘85号,重庆市渝北区金开大道99号升伟晶石公元11栋;重庆市万州区高笋塘85号,www.cqsxsl.com,4/27/1994,8/4/1997
沪A股,青海省,西宁市,城北区,西宁特钢,630105,西宁特殊钢股份有限公司,钢铁,4262,67.06,600117,青海省西宁市城北区柴达木西路52号,青海省西宁市城北区柴达木西路52号,www.xntg.com,10/7/1997,10/15/1997
沪A股,北京市,市辖区,海淀区,中国卫星,110108,中国东方红卫星股份有限公司,军工装备,3159,309.58,600118,北京市海淀区中关村南大街31号神舟科技大厦12层,北京市海淀区中关村南大街31号神舟科技大厦12层,www.spacesat.com.cn,8/20/1997,9/8/1997
沪A股,上海市,市辖区,浦东新区,长江投资,310115,长发集团长江投资实业股份有限公司,物流,338,29.62,600119,上海市浦东新区中国(上海)自由贸易试验区世纪大道1500号,上海市青浦区佳杰路89号6号楼4楼,www.cjtz.cn,11/27/1997,1/15/1998
沪A股,浙江省,杭州市,上城区,浙江东方,330102,浙江东方金融控股集团股份有限公司,多元金融,1356,202.53,600120,浙江省杭州市上城区香樟街39号国贸金融大厦31-33层,浙江省杭州市上城区香樟街39号国贸金融大厦,www.zjorient.com,10/25/1994,12/1/1997
沪A股,河南省,郑州市,中原区,郑州煤电,410102,郑州煤电股份有限公司,煤炭开采加工,14045,46.06,600121,河南省郑州市中原区中原西路66号,河南省郑州市中原区中原西路66号,www.zzce.com.cn,11/12/1997,1/7/1998
沪A股,山西省,晋城市,城区,兰花科创,140502,山西兰花科技创业股份有限公司,煤炭开采加工,18351,106.66,600123,山西省晋城市城区凤台东街2288号兰花科技大厦,山西省晋城市城区凤台东街2288号兰花科技大厦,www.chinalanhua.com,12/7/1998,12/17/1998
沪A股,辽宁省,大连市,甘井子区,铁龙物流,210211,中铁铁龙集装箱物流股份有限公司,公路铁路运输,2255,74.55,600125,辽宁省大连市甘井子区高新园区火炬路32号创业大厦A座2716号,辽宁省大连市中山区新安街1号,www.chinacrt.com,2/15/1993,5/11/1998
沪A股,浙江省,杭州市,拱墅区,杭钢股份,330105,杭州钢铁股份有限公司,钢铁,3539,380.61,600126,浙江省杭州市拱墅区半山路178号,浙江省杭州市拱墅区半山路178号,www.hzsteel.com,2/24/1998,3/11/1998
沪A股,湖南省,常德市,武陵区,金健米业,430702,金健米业股份有限公司,农产品加工,1525,43.77,600127,湖南省常德市武陵区常德经济技术开发区德山办事处莲池居委会崇德路158号,湖南省常德市武陵区常德经济技术开发区德山办事处莲池居委会崇德路158号,www.jjmy.cn,4/26/1998,5/6/1998
沪A股,江苏省,南京市,秦淮区,苏豪弘业,320104,苏豪弘业股份有限公司,贸易,715,24.82,600128,江苏省南京市秦淮区中华路50号弘业大厦,江苏省南京市秦淮区中华路50号弘业大厦,www.artall.com.cn,6/29/1994,9/1/1997
沪A股,重庆市,市辖区,涪陵区,太极集团,500102,重庆太极实业(集团)股份有限公司,中药,11971,114.83,600129,重庆市涪陵区太极大道1号,重庆市渝北区恒山东路18号,www.taiji.com,11/25/1979,11/18/1997
沪A股,浙江省,宁波市,奉化区,波导股份,330213,宁波波导股份有限公司,消费电子,416,21.45,600130,浙江省宁波市奉化区大成东路999号,浙江省宁波市奉化区大成东路999号,www.chinabird.com,7/26/1995,7/6/2000
沪A股,四川省,阿坝藏族羌族自治州,汶川县,国网信通,513221,国网信息通信股份有限公司,IT服务,1236,218.88,600131,四川省阿坝藏族羌族自治州汶川县下索桥,四川省成都市双流区天府新区蜡梓路390号国网信通产业集团西南产业基地,www.sgitc.com,1/4/1997,4/2/1998
沪A股,重庆市,市辖区,渝北区,重庆啤酒,500112,重庆啤酒股份有限公司,饮料制造,6861,273.93,600132,重庆市渝北区北部新区高新园大竹林街道恒山东路9号,广东省广州市天河区金穗路62号侨鑫国际金融中心13层,www.carlsbergchina.com.cn,12/19/1993,10/30/1997
沪A股,湖北省,武汉市,洪山区,东湖高新,420111,武汉东湖高新集团股份有限公司,环境治理,1418,96.6,600133,湖北省武汉市洪山区东湖新技术开发区花城大道9号武汉软件新城1.1期A8栋（原A3栋）1层、4层、5层,湖北省武汉市洪山区东湖新技术开发区花城大道9号武汉软件新城1.1期A8栋（原A3栋）1层、4层、5层,www.elht.com,3/18/1993,2/12/1998
沪A股,河北省,保定市,满城区,乐凯胶片,130607,乐凯胶片股份有限公司,塑料制品,2670,38.95,600135,河北省保定市满城区满城经济开发区建业路6号,河北省保定市竞秀区乐凯南大街6号,lkjp.luckyfilm.com,1/15/1998,1/22/1998
沪A股,湖北省,武汉市,洪山区,ST明诚,420111,武汉当代明诚文化体育集团股份有限公司,影视院线,760,43.06,600136,湖北省武汉市洪山区东湖新技术开发区光谷大道116号当代国际花园总部基地15号楼15层,湖北省武汉市武昌区中南路99号保利大厦A座37楼,www.ddmcgroup.cn,10/30/1992,3/3/1998
沪A股,四川省,宜宾市,翠屏区,浪莎股份,511502,四川浪莎控股股份有限公司,服装家纺,298,14.6,600137,四川省宜宾市翠屏区外南街63号,四川省宜宾市翠屏区外南街63号,www.langshastock.com,12/25/1996,4/16/1998
沪A股,北京市,市辖区,东城区,中青旅,110101,中青旅控股股份有限公司,旅游及酒店,6095,73.25,600138,北京市东城区东直门南大街5号,北京市东城区东直门南大街5号中青旅大厦,www.cyts.com,11/24/1997,12/3/1997
