类别,省,市,县,公司简称,行政区划,公司全名,行业,员工人数,总市值(亿),股票代码,注册地,办公地,官网,成立日期,上市日期
深创业板,广东省,珠海市,香洲区,全志科技,440402,珠海全志科技股份有限公司,半导体,814,320.13,300458,广东省珠海市香洲区高新区唐家湾镇科技二路9号,广东省珠海市香洲区高新区唐家湾镇科技二路9号,www.allwinnertech.com,9/18/2007,5/15/2015
深创业板,浙江省,绍兴市,上虞区,汤姆猫,330604,浙江金科汤姆猫文化产业股份有限公司,游戏,997,179.31,300459,浙江省绍兴市上虞区曹娥街道e游小镇门户客厅2号楼4层401,浙江省杭州市萧山区钱江世纪城平澜路299号浙江商会大厦36层,www.jinkeculture.com,6/11/2007,5/15/2015
深创业板,广东省,东莞市,,惠伦晶体,441900,广东惠伦晶体科技股份有限公司,元件,1062,31.09,300460,广东省东莞市黄江镇黄江东环路68号,广东省东莞市黄江镇黄江东环路68号,,6/24/2002,5/15/2015
深创业板,浙江省,嘉兴市,嘉善县,田中精机,330421,浙江田中精机股份有限公司,自动化设备,759,,300461,浙江省嘉兴市嘉善县姚庄镇新景路398号,浙江省嘉兴市嘉善县姚庄镇新景路398号,www.tanac.com.cn,7/8/2003,5/19/2015
深创业板,上海市,市辖区,松江区,华铭智能,310117,上海华铭智能终端设备股份有限公司,计算机设备,1083,15.68,300462,上海市松江区茸北工业区施惠路北侧,上海市松江区茸梅路895号,www.hmmachine.com,8/8/2001,5/27/2015
深创业板,四川省,成都市,郫都区,迈克生物,510117,迈克生物股份有限公司,医疗器械,3362,73.07,300463,四川省成都市郫都区高新区百川路16号,四川省成都市郫都区高新区安和二路8号,www.maccura.com,10/19/1994,5/28/2015
深创业板,广东省,佛山市,顺德区,星徽股份,440606,广东星徽精密制造股份有限公司,互联网电商,1519,23.3,300464,广东省佛山市顺德区北滘镇北滘社区居民委员会科业路3号之三,广东省佛山市顺德区北滘镇北滘社区居民委员会科业路3号之三,www.sh-abc.cn,11/10/1994,6/10/2015
深创业板,北京市,市辖区,海淀区,高伟达,110108,高伟达软件股份有限公司,软件开发,3813,71.8,300465,北京市海淀区大慧寺8号北区20栋604房间,北京市朝阳区霄云路28号院2号楼国樽赢地中心A座E层,www.git.com.cn,4/10/2003,5/28/2015
深创业板,江苏省,徐州市,鼓楼区,赛摩智能,320302,赛摩智能科技集团股份有限公司,通用设备,885,71.06,300466,江苏省徐州市鼓楼区经济技术开发区螺山2号,江苏省徐州市鼓楼区经济开发区螺山2号,www.saimo.cn,12/1/1996,5/28/2015
深创业板,四川省,成都市,武侯区,迅游科技,510107,四川迅游网络科技股份有限公司,游戏,331,35.32,300467,四川省成都市武侯区中国(四川)自由贸易试验区高新区世纪城南路599号7栋6、7层,四川省成都市武侯区高新区世纪城南路599号7栋6、7层,www.xunyou.com,8/6/2008,5/27/2015
深创业板,广东省,深圳市,南山区,四方精创,440305,深圳四方精创资讯股份有限公司,软件开发,2319,117.27,300468,广东省深圳市南山区粤海街道高新区社区高新南七道8号四方精创资讯大厦3层,广东省深圳市南山区粤海街道高新区社区高新南七道8号四方精创资讯大厦,www.formssi.com,11/20/2003,5/27/2015
