品牌,商场名,地址,开店日期
永辉,焦作市 焦作万达广场店,河南省焦作市丰收路与民主南路交汇处,2017-06-30
永辉,盐城市 盐城万达店,江苏省盐城市盐都区潘黄街道88号万达广场1号门2楼,2017-06-29
永辉,南昌市 南昌西湖万达店,江西省南昌市云锦路368号西湖万达广场2F,2017-06-23
永辉,德阳市 什邡天耀中心店,四川省什邡市亭江东路蓝剑天耀中心商业广场,2017-06-22
永辉,西安市 公园南路店,陕西省西安市雁塔区西影路与公园南路十字西北角金业缇香山内,2017-06-20
永辉,衢州市 衢州新城吾悦广场店,浙江省衢州市柯城区白云中大道99号新城吾悦广场负一楼,2017-06-16
永辉,江北区 龙湖源著天街店,重庆市江北区大石坝组团B分区B3-4地块龙湖源著天街,2017-06-16
永辉,芜湖市 芜湖银泰城店,芜湖市弋江区利民西路189号芜湖银泰城,2017-06-09
永辉,嘉兴市 桐乡新城吾悦广场店,浙江省嘉兴市桐乡市梧桐街道振兴东路439号,2017-05-26
永辉,成都市 郫县时代豪廷店,四川省成都市郫县望丛中路时代豪廷广场,2017-05-20
永辉,福州市 马尾中环广场店,福建省福州市马尾区马江园区罗星路西北侧马尾中环广场负一层（自贸试验区内）,2017-04-30
永辉,台州市 星光耀广场店,浙江省台州市路桥区腾达路527号（星光耀广场二楼2-236号）,2017-04-28
永辉,嘉兴市 旭辉广场店,浙江省嘉兴市南湖区中山东路666号,2017-03-30
永辉,闵行区 吴泾嘉怡水岸店,上海市闵行区龙吴路5859-5891号,2017-02-24
永辉,大兴区 康庄天健广场店,北京大兴区枣园路与兴盛街交叉口西侧270米路南,2017-01-25
永辉,达州市 宣汉巴人广场店,四川省达州市宣汉县石岭大道与巴人大道交汇处,2017-01-21
永辉,泉州市 惠安禹洲店,福建省泉州市惠安县世纪大道禹洲城市广场,2017-01-20
永辉,绵阳市 绵阳乐荟城店,四川省绵阳市科创园区剑南路西段323号,2017-01-18
永辉,闵行区 碧江广场店,上海市闵行区鹤庆路老闵行碧江广场,2017-01-18
永辉,朝阳区 望京西路店,北京市朝阳区望京西路与湖光中街交叉口向南200米路西,2017-01-18
永辉,达州市 达州达川店,四川省达州市达川区二号干道升华广场,2017-01-18
永辉,漳州市 万豪天悦广场店,福建省漳州市长泰县武安镇人民西路（人和北路）万豪天悦广场,2017-01-18
永辉,宁波市 宁波江北万达店,浙江省宁波市江北区的万达广场购物中心,2017-01-17
永辉,福州市 金辉淮安半岛店,福建省福州市仓山区淮安路8号D3商业楼一层,2017-01-16
永辉,太原市 并州路店,山西省太原市并州路48号,2017-01-13
永辉,南昌市 新建中心店,江西省南昌市新建区长征西路南侧，长麦路西侧新建中心商业A#1号楼一、二层,2017-01-13
永辉,大庆市 大庆毅腾店,黑龙江省大庆市萨尔图区经六街与纬五路交口东南角,2017-01-12
永辉,芜湖市 悦达广场店,安徽省芜湖市芜湖县芜湖路与湾石路交叉口芜湖悦达广场（县政府或市民中心对面）,2017-01-12
永辉,黔南州 剑江中路店,贵州省都匀市斗篷山路（天乐路）普罗旺斯,2017-01-10
永辉,盐城市 新纪元广场店,江苏省盐城市开放大道（黄海路）新纪元广场,2017-01-06
永辉,渭南市 仓程路店,陕西省渭南市临渭区仓程路中段新洲华盛购物中心负一层,2017-01-02
永辉,合肥市 天鹅湖万达店,安徽省合肥市政务区高河西路与怀宁路交口天鹅湖万达负一层永辉超市,2017-01-01
永辉,苏州市 昆山弥敦城店,江苏省苏州市昆山市长江路与衡山路交汇处向西100米,2017-01-01
永辉,铜仁地区 思唐财富广场店,贵州省思南县城北大道思丰财富广场,2017-01-01
永辉,六安市 六安万达店,安徽省六安市皋城路与球拍东路交口（六安万达）,2016-12-31
永辉,三明市 三明万达店,福建省三明市三明万达广场购物中心,2016-12-30
永辉,苏州市 吴江新城吾悦广场店,江苏省苏州市吴中区开平路新城吾悦广场负一楼永辉超市,2016-12-30
永辉,渝北区 喜悦汇店,重庆市渝北区两路组团G分区G40-5/01部分地块,2016-12-28
永辉,广安市 融恒时代广场店,四川省广安武胜县沿口镇兴武大道399号融恒时代广场,2016-12-28
永辉,定州市 定州店,河北省定州市中山中路建设街大世界购物中心负一层永辉超市,2016-12-25
永辉,杭州市 滨江宝龙城市广场店,浙江省杭州市滨江区江南大道与火炬大道交叉口宝龙城2F永辉超市,2016-12-24
永辉,武清区 武清大光明店,天津市武清开发区大光明中心,2016-12-24
永辉,深圳市 沙井市民广场店,广东省深圳市宝安区沙井中心路与创新路交汇处沙井市民中心广场形色城,2016-12-24
永辉,许昌市 长社路店,河南省长葛市长社路与建设路宇龙商业广场,2016-12-24
永辉,丰台区 丰科万达店,北京市丰台区丰科路与五圈路交叉口,2016-12-22
永辉,丰台区 槐房万达广场店,北京市丰台区槐房南路6号院万达广场购物中心B1F-B,2016-12-22
永辉,东丽区 SM广场店,天津市空港经济区环河北路168号,2016-12-17
永辉,闵行区 龙湖虹桥天街店,上海市闵行区申滨南路甬虹路龙湖虹桥天街B2层永辉超市,2016-12-17
永辉,扬州市 扬州宝龙店,江苏省扬州市维扬路27号宝龙城市广场永辉超市,2016-12-17
永辉,眉山市 眉山追梦城店,四川省成都市眉山市东坡区下西街与纱縠行交叉口东北侧,2016-12-16
永辉,合肥市 中信悦方店,安徽省合肥市紫云路与庐州大道交口,2016-12-16
永辉,福州市 南屿马保店,福建省福州市闽侯县浦上大道与乌龙江大道交汇处西北侧 上街镇新马保路18号,2016-12-16
永辉,西安市 丰禾路店,陕西省西安市莲湖区丰禾路北侧鑫苑大都汇,2016-12-16
永辉,南京市 夫子庙店,江苏省南京市秦淮区中华路健康路交汇茂业天地,2016-12-09
永辉,成都市 天府欧城店,四川省成都市青白江区同华大道,2016-12-09
永辉,温州市 瓯海大道银泰店,温州市瓯海区瓯海大道景屿路西南角,2016-12-03
永辉,宿州市,安徽省宿州市拂晓大道与银河三路交口,2016-12-02
永辉,石柱县 康德中央大街店,重庆市石柱县民族体育场地块,2016-11-28
永辉,合肥市 加侨国际广场店,安徽省合肥市包河区南二环与包河大道交汇处,2016-11-26
永辉,绍兴市 上虞万达广场店,浙江省绍兴市上虞区高铁新城称山北路399号,2016-11-25
永辉,泉州市 泉港永嘉店,福建省泉州市泉港区南山中路（中兴街）永嘉天地,2016-11-10
永辉,南京市 禧樾广场店,江苏省南京市江宁区天元西路与静淮街交汇处禧樾广场,2016-11-05
永辉,杭州市 学府宝龙店,浙江省杭州市江干区下沙25号大街与2号大街交叉口宝龙城市广场2期负一层,2016-10-29
永辉,渝北区 爱琴海店,重庆市渝北区金开大道1003号,2016-10-22
永辉,三门峡市 三门峡万达广场店,河南省三门峡市大岭路与和平西路交汇处三门峡万达广场,2016-10-21
永辉,厦门市 杏林万科店,福建省厦门市集美区杏滨路（杏东路口）万科金域华府,2016-10-15
永辉,杭州市 登云店,浙江省杭州市拱墅区小河路登云路东北角,2016-10-12
永辉,黔西南州 兴义店,贵州省黔西南州兴义市坪东路与崇文街交汇处,2016-10-01
永辉,嘉定区 嘉定宝龙店,上海市嘉定工业区天祝路（宝塔路）宝龙城市广场,2016-10-01
永辉,南岸区 桃源路店,重庆市南岸区桃源路158号美全世纪城,2016-10-01
永辉,开封市 黄河大街店,河南省开封市黄河大街（金耀路）中原明珠广场,2016-09-30
永辉,西安市 西长安街店,陕西省西安市长安区西长安街（府东一路）长安商贸中心,2016-09-28
永辉,合肥市 万达文旅城店,安徽省合肥市南宁路与泸州大道交口,2016-09-24
永辉,厦门市 五缘湾店,福建省厦门市湖里区日圆五里建发湾悦城,2016-09-10
永辉,合肥市 瑶海万达店,安徽省合肥市瑶海区临泉东路与和县路交口,2016-09-09
永辉,绵阳市 梓潼德诚时代广场店,四川省绵阳市梓潼县文昌镇崇文街,2016-09-03
永辉,昌平区 万科金域国际店,北京市昌平区回龙观村金域国际中心,2016-09-02
永辉,泸州市 泸州万象汇店,四川省泸州市江阳区康城路一段1号泸州华润万象汇B112、LG216号,2016-08-28
永辉,深圳市 卓悦汇购物中心店,广东省深圳市福田区中康路126号卓悦汇购物中心B2-超市,2016-08-26
永辉,邢台市 锦鼎国际店,河北省邢台市桥西区守敬路（拥军街）锦鼎国际广场,2016-08-26
永辉,贵阳市 中铁国际店,贵州省贵阳市南明区太慈桥青山路中铁国际水岸广场,2016-08-25
永辉,成都市 三三九广场店,四川省成都市猛追湾街94号四川广播电视塔影视文化广场(“成都339”),2016-08-24
永辉,福州市 滨江金榕店,福建省福州市仓山区金榕北路22号,2016-08-13
永辉,淮北市 国购广场店,安徽省淮北市相山区长山路（桓潭路）国购广场,2016-08-05
永辉,渝中区 龙湖时代天街店,重庆市渝中区长江二路174号龙湖时代天街,2016-07-21
永辉,松原市 镜湖公园店,吉林省松原市宁江区镜湖路与镜湖中路交汇处镜湖公园,2016-07-20
永辉,成都市 简阳雄州大道店,四川省成都市简阳雄州大道南段与简州大桥交汇处,2016-07-16
永辉,厦门市 同安现代城店,福建省厦门市同安区同集北路（梧侣路）新景舜弘现代城,2016-07-13
永辉,成都市 锦江城市花园店,四川省成都市锦江区香樟大道（海棠路）锦江城市花园,2016-07-01
永辉,嘉定区 嘉定大融城店,上海市嘉定区宝安公路裕民南路路口大融城,2016-06-30
永辉,常州市 青枫公园宝龙店,江苏省常州市钟楼区青枫公园南侧宝龙城市广场C区5号楼1F-091，2F-001-4,2016-06-24
永辉,杭州市 杭新店,浙江省杭州市西湖区转塘街道杭新路与320国道交叉口金街美地1号楼,2016-06-18
永辉,贵阳市 花果园店,贵州省贵阳市南明区花果园大街1号花果园项目F区,2016-06-18
永辉,深圳市 南山茂业店,深圳市南山区粤海街道海德二路茂业时代广场裙楼负一层,2016-05-31
永辉,成都市 华地财富广场店,四川省成都市金堂县赵镇滨江路二段金堂华地财富广场,2016-05-31
永辉,大兴区 旧宫万科店,北京市大兴区旧宫东路与旧宫北路交叉口东南角,2016-05-01
永辉,成都市 上风港时代广场店,四川省成都市武侯区金履路（金凤街）上风港时代广场,2016-04-30
永辉,成都市 蜀都万达店,四川省成都市郫县蜀都万达广场,2016-04-29
永辉,滨海新区 大港店,天津市大港区东环路271号,2016-03-02
永辉,南开区 熙悦汇购物中心店,天津市南开区黄河道（密云路）熙悦汇购物中心,2016-01-31
永辉,安阳市 林州太行路店,河南省林州市太行路（向阳街）京新购物广场,2016-01-30
永辉,永川区 永川协信店,重庆市永川区兴龙大道协信中心,2016-01-30
永辉,江北区 永辉生活广场店,重庆市江北区南桥寺转盘,2016-01-28
永辉,松江区 亚乐城店,上海市松江区莘松路1266号亚乐城,2016-01-27
永辉,深圳市 平湖店,广东省深圳市龙岗区平湖镇凤凰大道132号,2016-01-27
永辉,成都市 西单店,四川省成都市青羊区苏坡东路12号西单商场,2016-01-27
永辉,九龙坡区 渝州路店,重庆市九龙坡区渝州路79号石桥style广场,2016-01-22
永辉,安阳市 林州人民广场店,河南省安阳林州市永安街（政东路）人民广场,2016-01-22
永辉,贵阳市 新添大道店,贵州省贵阳市乌当区新添大道国际公馆路1号,2016-01-22
永辉,南平市 兴华路店,福建省南平市浦城县兴华路888号,2016-01-19
永辉,黄山市 黄山屯溪店,安徽省黄山市屯光大道（天都大道）天盈财富广场,2016-01-18
永辉,渝中区 大坪协信店,重庆市渝中区大坪经纬大道协信星光天地,2016-01-15
永辉,九龙坡区 白市驿店,重庆市九龙坡区白市驿镇白欣路23号西城金街购物广场,2016-01-01
永辉,河西区 凯德天津湾店,天津市河西区南北大街1号,2015-12-31
永辉,房山区 绿地缤纷城店,北京市房山区拱辰街道天星街1号院7号楼,2015-12-31
永辉,福州市 东二环泰禾店,福建省福州市晋安区岳峰镇竹屿路6号东二环泰禾城市广场负一楼,2015-12-30
永辉,洛阳市 人民路店,河南省洛阳市伊川县杜康大道(人民东路)欧美商城,2015-12-29
永辉,德阳市 中山大道店,四川省德阳广汉市中山大道南一段169号,2015-12-27
永辉,杭州市 萧山宝龙店,浙江省杭州市萧山区建设一路（金鸡路）宝龙城市广场,2015-12-25
永辉,广州市 南沙万达店,广东省广州市南沙区南沙街环市大道（双山大道）万达广场,2015-12-22
永辉,莆田市 正荣财富中心店,福建省莆田市城厢区荔园东大道正荣财富中心,2015-12-18
永辉,苏州市 吴中万达店,江苏省苏州市吴中区石湖西路万达广场,2015-12-11
永辉,渝北区 水木天地店,重庆市渝北区双湖路一碗水水木天地都会广场,2015-12-10
永辉,郑州市 三全路店,河南省郑州市惠济区三全路(长兴路)裕华广场,2015-11-27
永辉,西安市 阳光天地店,陕西省西安市高新区新型工业园区信息大道一号阳光天地购物中心,2015-11-20
永辉,莆田市 馨宜新天地店,福建省莆田市荔城区东圳路（西洪路）馨宜新天地,2015-11-10
永辉,东莞市 厚街万达店,广东省东莞市厚街镇康乐北路6号万达广场,2015-11-06
永辉,巴南区 巴南万达店,重庆市巴南区龙洲大道5号巴南万达广场,2015-10-30
永辉,成都市 金楠天街店,四川省成都市武侯区晋阳路晋吉西街188号龙湖金楠天街购物广场,2015-10-23
永辉,成都市 银泰城店,四川省成都市高新区天府四街（益州大道）成都银泰城,2015-10-17
永辉,大渡口区 中交丽景店,重庆市大渡口区双龙路中交丽景,2015-10-15
永辉,佳木斯市 解放路店,黑龙江省佳木斯市向阳区得祥街（解放路）利达国际购物中心,2015-10-01
永辉,太原市 太原万达店,山西省太原市杏花岭区解放路（北大街）万达广场,2015-09-30
永辉,成都市 海伦国际店,四川省成都市新都区电子路172号海伦国际,2015-09-29
永辉,福州市 奥体中心广场店,福建省福州市仓山区福湾斗门福州市海峡奥体中心商业广场,2015-09-26
永辉,镇江市 谷阳大道宝龙店,江苏省镇江市丹徒区谷阳大道（金谷东路）宝龙城市广场,2015-09-26
永辉,泉州市 石狮泰禾广场店,福建省石狮市宝岛中路泰禾广场,2015-09-26
永辉,福州市 闽江世纪金源店,福建省福州市仓山区林浦路闽江世纪金源购物中心,2015-09-20
永辉,福州市 爱琴海购物中心店,福建省福州市仓山区浦上大道（闽江大道）爱琴海购物公园,2015-09-19
永辉,通州区 世界村店,北京市通州区马驹桥镇世界村,2015-09-18
永辉,镇江市 东方伟业广场店,江苏省镇江市润州区中山北路1号东方伟业广场,2015-09-05
永辉,淮南市 凤台西城河公园店,安徽省淮南市凤台县青年北路西城河公园金汇广场,2015-09-05
永辉,阜阳市 淮河路店,安徽省阜阳市颍州区淮河路（颍州南路）万达广场,2015-08-29
永辉,杨浦区 隆昌店,上海市杨浦区隆昌路（长阳路）七巧国,2015-08-28
永辉,成都市 金都汇店,四川省崇州市蜀州中路（学府街）金都汇,2015-08-28
永辉,池州市 东流大道店,安徽省池州市东至县东流大道东至新天地,2015-08-26
永辉,西安市 曲江龙湖店,陕西省西安市曲江路167号龙湖星悦荟,2015-08-19
