品牌,商场名,地址
大润发,苏州市 - 长江路店,苏州市高新区长江路556号
大润发,无锡市 - 锡山店,江苏省无锡市锡山区高铁商务区锡沪路南、润锡路东
大润发,无锡市 - 五星店,江阴市普惠北路555号
大润发,徐州市 - 南关欣欣店,江苏省徐州市泉山区北京路与欣欣路交汇处东北角
大润发,苏州市 - 木渎店,苏州市吴中区木渎镇中山东路88号
大润发,南通市 - 启东店,南通市启东市汇龙镇民胜路灵秀中路521号
大润发,扬州市 - 江都店,扬州市江都区文昌东路与广州路交汇处东北角
大润发,南京市 - 浦口店,南京市浦口区江浦街道新浦路126号
大润发,南通市 - 观音山店,南通市崇川区青年中路200号
大润发,扬州市 - 开发东路店,扬州市广陵区渡江南路128号
大润发,扬州市 - 蒋王店,扬州市博物馆路与栖祥路交汇处
大润发,嘉兴市 - 秀洲店,嘉兴市中山西路611号
大润发,湖州市 - 湖州店,湖州市滨河路666号
大润发,衢州市 - 衢州店,衢州市三衢路238号
大润发,宁波市 - 北仑店,宁波市北仑区新大路1229号c区201
大润发,杭州市 - 育才店,杭州市萧山区育才北路518号1-3层
大润发,杭州市 - 富阳店,富阳区富春街道孙权路209号
大润发,温州市 - 瑞安店,瑞安市安阳街道罗阳大道968号
大润发,绍兴市 - 上虞店,上虞市百官街道城北新区凤鸣路与市民大道交汇处
大润发,绍兴市 - 诸暨店,诸暨市苎萝东路195号
大润发,嘉兴市 - 平湖店,浙江省平湖市新华中路519号
大润发,宁波市 - 奉化店,奉化市南山路8号
大润发,宁波市 - 慈溪店,慈溪市古塘街道北二环中路550号
大润发,杭州市 - 桐庐店,浙江省杭州市桐庐县迎春南路359号
大润发,湖州市 - 长兴店,浙江省长兴县雉城街道长海路288号
大润发,杭州市 - 建德店,建德市严州大道988号
大润发,嘉兴市 - 海盐店,海盐县武原街道新桥北路118号
大润发,嘉兴市 - 嘉善店,浙江省嘉善县罗星街道施家南路318号
大润发,杭州市 - 石桥店,杭州市下城区石桥路399号
大润发,宁波市 - 观海卫店,浙江省慈溪市观海卫镇观海卫路580号
大润发,宁波市 - 象山店,宁波市象山县丹东街道丹南路570号
大润发,台州市 - 黄岩店,台州市黄岩区洞天路160号
大润发,永康市 - 永康店,浙江省永康市九铃东路3117号
大润发,金华市 - 金华店,浙江省金华市八一南街1159号（印象城）
大润发,丽水市 - 丽水店,丽水市莲都区宇雷北路185号
大润发,温州市 - 龙港店,浙江省温州市苍南县龙港镇财富广场负一楼
大润发,杭州市 - 市心店,浙江省杭州市萧山区北干街道市心中路123-A号
大润发,绍兴市 - 袍江店,浙江省绍兴市袍江新区世纪东街1号
大润发,衢州市 - 江山店,浙江省江山市双塔街道城北广场98号
大润发,绍兴市 - 大唐店,大唐镇永新路1号
大润发,台州市 - 玉环店,玉环县榴岛大道与珠港大道交叉口
大润发,温州市 - 塘下店,瑞安市塘下镇中心大道与瑞安大道西南角
大润发,绍兴市 - 柯桥店,绍兴县兴越路与湖西路交汇处东南角
大润发,马鞍山市 - 马鞍山店,马鞍山市花山区湖北东路518号
大润发,淮南市 - 淮南店,安徽省淮南市田家庵区国庆中路6号
大润发,合肥市 - 清溪店,合肥市蜀山区合作化路与清溪路交叉口东南角
大润发,淮北市 - 相王广场店,相山区古城路与相山路交汇处西北
大润发,芜湖市 - 芜湖店,芜湖市北京中路10号
大润发,合肥市 - 庐阳店,合肥市阜阳北路和凤台路的西北角
大润发,阜阳市 - 阜阳店,阜阳市颍河西路和中南大道交汇处
大润发,合肥市 - 翡翠店,合肥经济技术开发区翡翠路与繁华大道交叉口西南角
大润发,宿州市 - 宿州店,宿州市东昌路与顺河路交汇处西南角
大润发,黄山市 - 黄山店,黄山市屯溪区跃进路6号新黄山商业步行街
大润发,滁州市 - 定远店,定远县鲁肃大道与黎明路交汇处
大润发,宣城市 - 广德店,安徽省宣城市广德县万桂山路与纬二路西南角
大润发,池州市 - 池州店,池州市长江中路与翠微西路交叉口西北角
大润发,蚌埠市 - 明珠店,蚌埠市解放路与凤阳东路交叉口西北角
大润发,马鞍山市 - 当涂店,马鞍山市当涂县青莲路与振兴路交叉口西北角
大润发,滁州市 - 滁州店,滁州市琅琊区丰乐大道475号
大润发,淮北市 - 相山店,淮北市相山路与南黎路交口东北角
大润发,蚌埠市 - 文化店,蚌埠市兴业街宝龙城市广场2号楼
大润发,阜阳市 - 太和店,阜阳市太和县长征路中段东侧
大润发,芜湖市 - 繁昌店,芜湖市繁昌县繁阳镇迎春东路与环城东路交汇处西北角
大润发,池州市 - 青阳店,安徽省池州市青阳县九子大道与富阳南路交汇处
大润发,安庆市 - 安庆店,安庆市大观区湖心中路与市府路交汇处
大润发,铜陵市 - 铜陵店,安徽省铜陵市石城大道与翠湖一路交汇处东北角
大润发,合肥市 - 望江店,安徽省合肥市包河区望江东路与当涂路交汇处西北角
大润发,蚌埠市 - 怀远店,安徽省蚌埠市怀远县307省道及三桥路西南角
大润发,滁州市 - 明光店,安徽省滁州明光市池河大道与明珠大道交汇处东北角
大润发,宣城市 - 宁国店,安徽省宣城市宁国市宁阳东路与和平路西交汇处西南角
大润发,阜阳市 - 临泉店,安徽省阜阳市临泉县解放路与纬六路交汇处西北角
大润发,宣城市 - 宣州店,宣城市宣州区梅溪路与昭亭路岔口东南角
大润发,合肥市 - 金寨南路店,安徽省合肥市肥西县金寨南路与青年北路交汇口
大润发,马鞍山市 - 雨山店,安徽省马鞍山市雨山区红旗路与湖南路交叉口
大润发,芜湖市 - 芜湖县店,安徽省芜湖市芜湖县迎宾大道与三元路交汇处
大润发,济南市 - 历下店,山东省济南市历下区文化西路1号
大润发,济南市 - 历城店,山东省济南市历城区花园路99号
大润发,济南市 - 市中店,济南市市中区二七新村南路与建设路交叉口往东100米路北
大润发,烟台市 - 芝罘店,山东省烟台市芝罘区南大街166号
大润发,青岛市 - 宁夏店,山东省青岛市市南区宁夏路162号
大润发,济南市 - 天桥店,山东省济南市天桥区堤口路80号
大润发,淄博市 - 淄博店,山东省淄博市张店区华光路86号
大润发,威海市 - 侨乡店,山东省威海市环翠区海滨北路128号
大润发,青岛市 - 春阳店,山东省青岛市城阳区城阳街道春阳路167号
大润发,青岛市 - 即墨店,山东省青岛即墨市振华街与嵩山一路交汇处西南角
大润发,济宁市 - 济宁店,"""山东省济宁市任城区刘庄路与琵琶山路交叉口 """
大润发,威海市 - 荣成店,山东省荣成市成山大道与台上南街交汇处
大润发,烟台市 - 莱阳店,山东省莱阳市龙门西路18号（立交桥东200米路北）
大润发,潍坊市 - 青州店,山东省青州市云门山路与范公亭交汇处购物广场A段一层
大润发,莱芜市 - 莱芜店,山东省莱芜市莱城区汶源东大街以北、花园北路以西
大润发,滨州市 - 滨州店,山东省滨州市黄河六路与渤海七路交叉口东南角
大润发,青岛市 - 平度店,山东省青岛平度市苏州路4号
大润发,泰安市 - 泰安店,山东省泰安市东岳大街82号
大润发,威海市 - 文登店,山东省文登市昆嵛路西、横山路北交汇处
大润发,日照市 - 日照店,山东省日照市东港区海曲路与兖州路交汇处
大润发,青岛市 - 长城店,山东省青岛市城阳区长城路宝龙城市广场1号
大润发,枣庄市 - 枣庄店,山东省枣庄市市中区振兴北路与建华路交叉口109号
大润发,威海市 - 世昌店,山东省威海火炬高技术产业开发区世昌大道100号
大润发,青岛市 - 阜安店,山东省青岛胶州市广州北路187号
大润发,潍坊市 - 奎文店,山东省潍坊市新华路与福寿街交叉口西南角
大润发,济宁市 - 兖州店,山东省兖州市龙桥路与建设路交叉口西北角
大润发,济南市 - 章丘店,山东省章丘市山泉路南
大润发,青岛市 - 崂山店,山东省青岛市崂山区辽阳东路12号
大润发,青岛市 - 三里河店,山东省胶州市福州南路与扬州东路交叉口东北处
大润发,烟台市 - 衡山店,山东省烟台市开发区衡山路58号
大润发,临沂市 - 红旗店,山东省临沂市人民广场北侧红旗路21号
大润发,济南市 - 省博店,山东省济南市历下区经十路11899号山东省博物馆地下负一层
大润发,临沂市 - 蒙山店,临沂市兰山区蒙山大道与北园路交汇处东北角
大润发,济南市 - 华能店 ,山东省济南市历下区华能路38号
大润发,聊城市 - 东昌店,山东省聊城市东昌东路与花园路交叉口向东200米路南
大润发,烟台市 - 莱州店,莱州北路989号
大润发,枣庄市 - 滕州店,滕州市荆河中路59号
大润发,保定市 - 保定店,河北省保定市莲池区东风中路89号(东风中路与莲池北大街交叉口东北角)
大润发,唐山市 - 华岩店,河北省唐山市路北区华岩北路9号
大润发,承德市 - 承德店,河北省承德市武烈路与都统府大街交叉口处西北角
大润发,唐山市 - 迁安店,迁安市钢城大街与和平路交汇处西北角
大润发,天津市 - 紫金山店,天津市河西区紫金山路与黑牛城道交口处(纪庄子桥北侧)
大润发,天津市 - 大沽南路店,天津市河西区大沽南路与长湖路交汇处东南角
大润发,北京市 - 民族园店,北京市朝阳区民族园路2号
大润发,开封市 - 解放店,河南省开封市鼓楼区自由路与解放大道交叉口东南角
大润发,郑州市 - 陇海店,河南省郑州市紫荆山路与陇海路交汇处东北角
大润发,郑州市 - 大学路店,河南省郑州市大学路与政通路交汇处西北角
大润发,济源市 - 济水店,河南省济源市济水大街建设银行北
大润发,商丘市 - 归德店,河南省商丘市团结路与归德店交汇处白云绿地广场
大润发,吉林市 - 东市店,吉林市昌邑区成都路汇龙广场A座
大润发,吉林市 - 解放北路店,吉林市昌邑区解放北路149号
大润发,吉林市 - 船营店,吉林市船营区解放中路120号
大润发,松原市 - 铂金店,吉林省松原市铂金路599号
大润发,长春市 - 长春店,汽车产业开发区创业大街456号
大润发,吉林市 - 西山店,吉林市昌邑区珲春中街1508号
大润发,白城市 - 白城店,吉林省白城市新华西大路2号
大润发,辽源市 - 辽源店,吉林省辽源市龙山区人民大街640号
大润发,延边朝鲜族自治州 - 延吉店,延吉市局子街88号
大润发,齐齐哈尔市 - 龙沙店,齐齐哈尔市龙沙区龙华路132号
大润发,牡丹江市 - 东安店,牡丹江市东安区东一步行街113号
大润发,哈尔滨市 - 南岗店,哈尔滨市南岗区宣化街402号
大润发,佳木斯市 - 佳木斯店,黑龙江省佳木斯市向阳区长安路972号
大润发,哈尔滨市 - 香坊店,哈尔滨市香坊区赣水路68号
大润发,齐齐哈尔市 - 建华店,齐齐哈尔市建华区军校街300号
大润发,绥化市 - 绥化店,绥化市北林区长江路123号
大润发,黑河市 - 北安店,上海路88号
大润发,七台河市 - 七台河店,七台河市桃山区珊瑚路46号
大润发,大庆市 - 西宾店,黑龙江省大庆市让胡路区西宾路116号
大润发,哈尔滨市 - 道外店,哈尔滨市道外区太古街188号
大润发,佳木斯市 - 万新店,黑龙江省佳木斯市郊区万新街399号
大润发,大庆市 - 萨尔图店,大庆市萨尔图区经六街303号
大润发,双鸭山市 - 双鸭山店,双鸭山尖山区九阳路5号
大润发,牡丹江市 - 西安店,西安区西新安街246号新安街与西五条路交叉口
大润发,哈尔滨市 - 通乡店,哈尔滨市香坊区通乡街193号
大润发,哈尔滨市 - 松北店,哈尔滨市松北区世茂大道400号
大润发,沈阳市 - 和平店,沈阳市和平区南街南街78号
大润发,锦州市 - 古塔店,锦州市古塔区北二里锦州华庭18号
大润发,营口市 - 营口店,营口市站前区东升路30号
大润发,鞍山市 - 民生店,鞍山市铁西区九道街139号(甲)
大润发,沈阳市 - 沈河店,沈阳市沈河区文艺路80号
大润发,鞍山市 - 中华店,鞍山市铁东区解放东路80号
大润发,朝阳市 - 朝阳店,辽宁省朝阳市双塔区朝阳大街二段81号
大润发,沈阳市 - 苏家屯店,辽宁省沈阳市苏家屯区迎春街141号
大润发,葫芦岛市 - 葫芦岛店,辽宁省葫芦岛市龙港区龙湾大街170号楼
大润发,鞍山市 - 海城店,海城市海州区北关街红星委北顺城路37号
大润发,沈阳市 - 长白店,沈阳市和平区南京南街201号
大润发,阜新市 - 细河店,辽宁省阜新市细河区中华路63号
大润发,铁岭市 - 开原店,辽宁省开原市新城街哈大路188号
大润发,沈阳市 - 铁西店,沈阳市铁西区建设西路5号
大润发,辽阳市 - 辽阳店,辽阳市白塔区新运大街105号
大润发,沈阳市 - 皇姑店,沈阳市皇姑区昆山西路2号12门
大润发,鞍山市 - 立山店,鞍山市立山区鞍千路90栋S27
大润发,阜新市 - 海州店,辽宁省阜新市海州区中华路128号
大润发,盘锦市 - 双台子店,盘锦市双台子区渤海路207号
大润发,盘锦市 - 兴隆台店,泰山北路75号
大润发,营口市 - 大石桥店,辽宁省营口市大石桥朝阳路31号
大润发,鞍山市 - 湖南街店,辽宁省鞍山市铁东区湖南街16号
大润发,通辽市 - 通辽店,霍林河大街与和平路交汇处东北角（霍林河大街152号A号楼）
大润发,鄂尔多斯市 - 东胜店,鄂尔多斯市东胜区伊金霍洛东街与准格尔北路交汇处东南角
大润发,武汉市 - 江汉店,武汉市江汉区江汉路257号
大润发,荆州市 - 荆州店,荆州市沙市区江津中路204号
大润发,武汉市 - 姑嫂树店,武汉市江汉区兴业路与姑嫂树交汇(南国北都广场)
大润发,宜昌市 - 宜昌店,宜昌市沿江大道与陶珠路转角处(商业步行街)
大润发,孝感市 - 孝感店,湖北省孝感市槐荫大道193号
大润发,随州市 - 随州店,湖北省随州市烈山大道与青年路交汇处
大润发,天门市 - 天门店,湖北省天门市钟惺大道88号
大润发,荆州市 - 荆沙店,荆州市荆州区北京西路508号（万达广场负一层）
大润发,黄冈市 - 黄冈店,黄冈市黄州区青砖湖路与西湖三路交汇处
