2017.11.16-11:18:59 ['大润发', '32.52097', '120.123518', '江苏省泰州市姜堰区南京路']
2017.11.16-11:19:00 ['大润发', '33.152681', '119.731333', '江苏省泰州市兴化市人民东路']
2017.11.16-11:19:00 ['大润发', '32.552622', '119.868618', '江苏省泰州市海陵区兴泰北路']
2017.11.16-11:19:00 ['大润发(安丰店)', '33.08742', '120.106179', '江苏省泰州市兴化市振安南路']
2017.11.16-11:19:01 ['大润发(里华店)', '32.608871', '119.869906', '江苏省泰州市姜堰区飞船大道']
2017.11.16-11:19:01 ['大润发(靖江店)', '32.012098', '120.266876', '江苏省泰州市靖江市车站路67号']
2017.11.16-11:19:01 ['世纪大润发购物中心', '32.355533', '119.922679', '江苏省泰州市高港区振兴大道']
2017.11.16-11:19:02 ['大润发(金港中路店)', '32.315564', '119.885972', '江苏省泰州市高港区通扬路84号']
2017.11.16-11:19:02 ['大润发(周庄店)', '32.718147', '119.897367', '江苏省泰州市兴化市政通路']
2017.11.16-11:19:03 ['大润发(兴化店)', '32.92336', '119.851653', '江苏省泰州市兴化市英武南路188号']
2017.11.16-11:19:03 ['大润发(戴南张万店)', '32.733899', '120.099784', '江苏省泰州市兴化市张帅路']
2017.11.16-11:19:03 ['华夏大润发生活超市', '32.406548', '120.060332', '江苏省泰州市姜堰区府前街']
2017.11.16-11:19:04 ['大润发(七圩镇人民政府西店)', '32.029212', '120.028446', '江苏省泰州市泰兴市X308(珊七线)']
2017.11.16-11:19:04 ['宝岛眼镜(瑞金大润发店)', '32.609094', '120.141203', '江苏省泰州市姜堰区河横大道']
2017.11.16-11:19:05 ['家乐福(涌金店)', '30.252637', '120.170557', '浙江省杭州市上城区延安路198号']
2017.11.16-11:19:06 ['桃园家乐福', '29.969005', '120.244693', '浙江省杭州市萧山区包洪线']
2017.11.16-11:19:06 ['沃尔玛', '30.246106', '120.198996', '浙江省杭州市上城区秋涛路491号180号']
2017.11.16-11:19:07 ['沃尔玛(黄龙店)', '30.27138', '120.142331', '浙江省杭州市西湖区曙光路132号']
2017.11.16-11:19:07 ['沃尔玛(杭州东新店)', '30.313487', '120.185032', '浙江省杭州市下城区香积寺东路58号']
2017.11.16-11:19:07 ['沃尔玛(近江店)', '30.246031', '120.198117', '浙江省杭州市上城区近江路1号']
2017.11.16-11:19:08 ['沃尔玛(临平分店)', '30.420359', '120.305083', '浙江省杭州市余杭区迎宾路14']
2017.11.16-11:19:08 ['沃尔玛山姆会员商店(西溪店)', '30.25313', '120.05712', '浙江省杭州市西湖区五常大道']
2017.11.16-11:19:08 ['沃尔玛(富阳横凉亭店)', '30.054165', '119.938113', '浙江省杭州市富阳市横凉亭路10-33号']
2017.11.16-11:19:09 ['沃尔玛(杭州印象城购物中心)', '30.299929', '120.105875', '浙江省杭州市西湖区古墩路588号']
2017.11.16-11:19:09 ['沃尔玛(临安店)', '30.227742', '119.712949', '浙江省杭州市临安市钱王街855号']
2017.11.16-11:19:10 ['大润发(石桥路店)', '30.348304', '120.197691', '浙江省杭州市下城区石桥路399号']
2017.11.16-11:19:10 ['大润发(市心店)', '30.176738', '120.272742', '浙江省杭州市萧山区市心中路163号']
2017.11.16-11:19:14 ['大润发', '30.384594', '120.123324', '浙江省杭州市余杭区逸盛路']
2017.11.16-11:19:14 ['大润发(惠民超市)', '30.339505', '120.085103', '浙江省杭州市西湖区厚仁路辅路']
2017.11.16-11:19:14 ['大润发(萧山店)', '30.18577', '120.285372', '浙江省杭州市萧山区金城路1368号']
2017.11.16-11:19:15 ['吴江大润发(笕桥店)', '30.324281', '120.227903', '浙江省杭州市江干区机场路250号']
2017.11.16-11:19:15 ['大润发(富阳店)', '30.057656', '119.946813', '浙江省杭州市富阳市孙权路209号']
2017.11.16-11:19:15 ['吴江大润发', '30.362777', '120.296626', '浙江省杭州市余杭区乔莫西路139号']
2017.11.16-11:19:16 ['RT鞋业', '30.252674', '120.201683', '浙江省杭州市江干区杭海路68-9号']
2017.11.16-11:19:16 ['大润发(桐庐店)', '29.79947', '119.695847', '浙江省杭州市桐庐县迎春南路371号']
2017.11.16-11:19:16 ['大润发(建德店)', '29.490076', '119.304982', '浙江省杭州市建德市严州大道988号']
2017.11.16-11:19:17 ['大润发(通盛路店)', '30.303393', '120.280809', '浙江省杭州市江干区久盛路']
2017.11.16-11:19:21 ['麦德龙(杭州江干商场店)', '30.292057', '120.238304', '浙江省杭州市江干区艮山东路辅路']
2017.11.16-11:19:21 ['麦德龙(杭州金家渡店)', '30.34639', '120.102555', '浙江省杭州市余杭区金家渡路56号']
