销售额,利润(万元),利润率,市,区县,公司简称,全称,,,,,,
231433 ,113855 ,49.2%,杭州市,江干区,宋城演艺,宋城演艺发展股份有限公司,广播与娱乐,宋城演艺(300144),浙江省杭州市之江路148号,浙江省杭州市之江路148号,www.chinascgf.com,2010/12/9
1049664 ,107961 ,10.3%,杭州市,高新技术产业区,苏泊尔,浙江苏泊尔炊具股份有限公司,耐用消费品,苏泊尔(002032),浙江省玉环县大麦屿经济开发区,浙江省杭州市高新技术产业区江晖路1772号苏泊尔大厦19楼,www.supor.com.cn,2004/8/17
306502 ,106434 ,34.7%,杭州市,临安市,亿帆医药,亿帆医药股份有限公司,制药,亿帆医药(002019),浙江省杭州市临安经济开发区,浙江省临安市锦城街道琴山50号,www.xinfupharm.com,2004/7/13
498793 ,106104 ,21.3%,杭州市,余杭区,老板电器,杭州老板电器股份有限公司,耐用消费品,老板电器(002508),浙江省杭州余杭区余杭经济开发区临平大道592号,浙江省杭州余杭区余杭经济开发区临平大道592号,www.robam.com,2010/11/23
409217 ,105422 ,25.8%,绍兴市,新昌县,新和成,浙江新和成股份有限公司,制药,新和成(002001),浙江省新昌县羽林街道江北路4号,浙江省新昌县七星街道大道西路418号,www.cnhu.com,2004/6/25
328531 ,105215 ,32.0%,杭州市,西湖区,浙商证券,浙商证券股份有限公司,金融服务业,浙商证券(601878),浙江省杭州市五星路201号,浙江省杭州市杭大路1号,www.stocke.com,2017/6/26
1002290 ,101364 ,10.1%,衢州市,柯城区,巨化股份,浙江巨化股份有限公司,通用化工品,巨化股份(600160),浙江省衢州市柯城区,浙江省衢州市柯城区,www.jhgf.com.cn,1998/6/26
759623 ,88716 ,11.7%,绍兴市,上虞区,卧龙电气,卧龙电气集团股份有限公司,工业机械,卧龙电气(600580),浙江省绍兴市上虞区经济开发区,浙江省绍兴市上虞区人民西路1801号,www.wolong.com.cn,2002/6/6
731581 ,86362 ,11.8%,绍兴市,新昌县,万丰奥威,浙江万丰奥威汽轮股份有限公司,汽车零配件（IV）,万丰奥威(002085),浙江省新昌县城关镇新昌工业区（后溪）,浙江省新昌县城关镇新昌工业区（后溪）,www.wfaw.com.cn,2006/11/28
246109 ,83578 ,34.0%,绍兴市,上虞市经济开发区,世纪华通,浙江世纪华通集团股份有限公司,汽车零配件（IV）,世纪华通(002602),浙江省绍兴市上虞区曹娥街道越爱路66号,浙江省上虞市经济开发区北一路,www.sjhuatong.com,2011/7/28
681955 ,82502 ,12.1%,杭州市,上城区,浙江东方,浙江东方集团股份有限公司,服装与服饰,浙江东方(600120),浙江省杭州市西湖大道12号,浙江省杭州市西湖大道12号,www.zjorient.com,1997/12/1
400878 ,82266 ,20.5%,嘉兴市,平湖市,嘉化能源,浙江嘉化能源化工股份有限公司,通用化工品,嘉化能源(600273),浙江省嘉兴市乍浦滨海大道2288号,浙江省嘉兴港区乍浦经济开发区滨海大道2288号,www.jhec.com.cn,2003/6/27
449535 ,80274 ,17.9%,绍兴市,上虞市,闰土股份,浙江闰土股份有限公司,特种化工品,闰土股份(002440),浙江省杭州湾上虞经济技术开发区纬七东路1号,浙江省上虞市市民大道1009号财富广场1号楼闰土大厦,www.runtuchem.com,2010/7/6
612485 ,76209 ,12.4%,嘉兴市,嘉兴工业园区,卫星石化,浙江卫星石化股份有限公司,特种化工品,卫星石化(002648),浙江省嘉兴市嘉兴工业园区步焦路,浙江省嘉兴市嘉兴工业园区步焦路,www.satlpec.com,2011/12/28
378345 ,74349 ,19.7%,杭州市,高新技术开发区,康恩贝,浙江康恩贝制药股份有限公司,制药,康恩贝(600572),浙江省兰溪市康恩贝大道1号,浙江省杭州市高新技术开发区滨江科技经济园滨康路568号,www.conba.com.cn,2004/4/12
804648 ,70403 ,8.7%,杭州市,萧山经济技术开发区,万向钱潮,万向钱潮股份有限公司,汽车零配件（IV）,万向钱潮(000559),浙江省杭州市萧山区万向路,浙江省杭州市萧山经济技术开发区万向路,www.wxqc.com.cn,1994/1/10
